simulation_id,schedule_delay_months,capex_multiplier,utilization_multiplier,power_cost_multiplier,price_multiplier,debt_rate_shift_bps,total_capex_usd,portfolio_unlevered_npv_usd,total_ebitda_usd,incremental_funding_required_usd,minimum_cash_pre_support_usd,latest_ready_for_service,npv_positive
364,3.791624802900375,1.2524491230003016,0.9662805167040233,1.1970209642017868,1.008774204989087,42.337617205007845,5441891439.43631,-144551720.77442598,1311783722.3626773,471515981.9711083,-421515981.9711083,2029-08-01,False
365,5.857789777271893,1.0432773898773735,0.9738819182006014,1.086043001144631,0.9562262551863706,266.09467955318405,4533040259.017187,390565914.15923274,1133785150.536215,399159554.567734,-349159554.567734,2029-10-01,True
366,2.5397675062096923,1.1193813624778834,0.9533156742084499,0.9840681487241096,0.9850191439627419,214.31699275999745,4863712019.966403,238343862.71324456,1334791049.0377166,428083879.57268685,-378083879.57268685,2029-07-01,True
367,1.944615542314467,1.108991555785551,0.8590686051038326,1.1013879288719937,0.9377376258520079,270.6598655600502,4818568309.888219,-608372047.3687431,1091628768.8629324,648956110.575834,-598956110.575834,2029-06-01,False
368,10.160989898432469,1.0471077283077048,0.8755001226704012,1.0866872267396597,0.9955909431680683,113.9186612966324,4549683079.496977,26414241.418620825,866190958.327735,380691558.69671196,-330691558.69671196,2030-02-01,True
369,2.9584310081214675,1.025187275960552,1.05690577087229,1.0638042875728209,1.0134156230893463,122.48648493531522,4454438714.048598,1305118294.190363,1570993669.2218313,271906968.8147986,-221906968.8147986,2029-07-01,True
370,10.703042219930692,1.0198379713650059,0.8123506118649162,1.176667817819696,1.0265197311124903,87.41559899779136,4431195985.58095,-130664573.01428771,770018347.1776965,376446626.52244985,-326446626.52244985,2030-03-01,False
371,4.498583483455851,1.0976223272335606,0.8964338223500057,1.019192752993356,1.0173341390954322,73.2820183252149,4769169011.829821,170317930.17961717,1241077465.2920418,371808086.98281014,-321808086.98281014,2029-08-01,True
372,7.576460269202908,1.0123445474866952,0.7738386440981431,1.0995102741723954,0.963782366613972,164.3819493475921,4398637058.82969,-526467404.6807804,763912498.9617795,507674099.35603833,-457674099.35603833,2029-12-01,False
373,2.2945995993755646,1.2387536386199685,0.958705332071418,1.1560192419805022,0.9404678470953686,88.59891101149447,5382384559.803762,-581119418.7331679,1259246029.2997942,598440185.4903055,-548440185.4903055,2029-06-01,False
